Num,Mark,Date,Year,Month,Run,Sector,Length,Weight,Age,Cohort,Sex,adc,Tag_loss,Fin,Season
1,12115,2006-09-15,2006,9,1,1,145,27.0,1,C05,NA,NA,NA,NA,Autumn
2,12190,2006-09-15,2006,9,1,1,140,25.2,1,C05,NA,NA,NA,NA,Autumn
3,12176,2006-09-15,2006,9,1,1,135,23.8,1,C05,NA,NA,NA,NA,Autumn
4,12178,2006-09-15,2006,9,1,1,147,27.4,1,C05,NA,NA,NA,NA,Autumn
5,12197,2006-09-15,2006,9,1,1,154,33.0,1,C05,NA,1,NA,NA,Autumn
6,12199,2006-09-15,2006,9,1,1,140,25.2,1,C05,NA,NA,NA,NA,Autumn
7,12198,2006-09-15,2006,9,1,1,131,19.6,1,C05,NA,NA,NA,NA,Autumn
8,12168,2006-09-15,2006,9,1,1,207,79.2,3,C03,NA,1,NA,NA,Autumn
9,12167,2006-09-15,2006,9,1,1,304,248.4,6,C00,NA,1,NA,NA,Autumn
10,12131,2006-09-15,2006,9,1,1,212,84.6,3,C03,NA,1,NA,NA,Autumn
11,12127,2006-09-15,2006,9,1,1,148,29.0,1,C05,NA,NA,NA,NA,Autumn
12,12125,2006-09-15,2006,9,1,1,151,30.9,1,C05,NA,NA,NA,NA,Autumn
13,12174,2006-09-15,2006,9,1,1,166,40.7,2,C04,NA,1,NA,NA,Autumn
14,12121,2006-09-15,2006,9,1,1,140,24.4,1,C05,NA,NA,NA,NA,Autumn
15,12129,2006-09-15,2006,9,1,1,164,41.8,2,C04,NA,1,NA,NA,Autumn
16,12123,2006-09-15,2006,9,1,1,140,23.3,1,C05,NA,NA,NA,NA,Autumn
17,12118,2006-09-15,2006,9,1,1,137,23.3,1,C05,NA,1,NA,NA,Autumn
18,12111,2006-09-15,2006,9,1,1,149,30.7,1,C05,NA,1,NA,NA,Autumn
19,12116,2006-09-15,2006,9,1,1,165,36.8,2,C04,NA,NA,NA,NA,Autumn
20,12112,2006-09-15,2006,9,1,1,157,35.9,1,C05,NA,1,NA,NA,Autumn
21,12191,2006-09-15,2006,9,1,1,132,20.4,1,C05,NA,NA,NA,NA,Autumn
22,12102,2006-09-15,2006,9,1,1,129,18.6,1,C05,NA,1,NA,NA,Autumn
23,12100,2006-09-15,2006,9,1,1,130,19.2,1,C05,NA,1,NA,NA,Autumn
24,12106,2006-09-15,2006,9,1,1,129,19.4,1,C05,NA,1,NA,NA,Autumn
25,12113,2006-09-15,2006,9,1,1,129,19.3,1,C05,NA,NA,NA,NA,Autumn
26,12117,2006-09-15,2006,9,1,1,122,17.8,1,C05,NA,NA,NA,NA,Autumn
27,12103,2006-09-15,2006,9,1,1,121,15.7,1,C05,NA,1,NA,NA,Autumn
28,12114,2006-09-15,2006,9,1,1,138,23.6,1,C05,NA,NA,NA,NA,Autumn
29,12107,2006-09-15,2006,9,1,1,117,13.9,1,C05,NA,1,NA,NA,Autumn
30,12104,2006-09-15,2006,9,1,1,116,14.0,1,C05,NA,NA,NA,NA,Autumn
31,12105,2006-09-15,2006,9,1,1,123,18.1,1,C05,NA,NA,NA,NA,Autumn
32,12109,2006-09-15,2006,9,1,1,117,13.4,1,C05,NA,NA,NA,NA,Autumn
33,12101,2006-09-15,2006,9,1,1,118,15.7,1,C05,NA,1,NA,NA,Autumn
34,NA,2006-09-15,2006,9,1,1,109,11.2,1,C05,NA,1,NA,Y2251,Autumn
35,NA,2006-09-15,2006,9,1,1,113,12.6,1,C05,NA,NA,NA,Y2251,Autumn
36,NA,2006-09-15,2006,9,1,1,106,10.5,1,C05,NA,NA,NA,Y2251,Autumn
37,NA,2006-09-15,2006,9,1,1,63,2.2,0,C06,NA,NA,NA,Y2251,Autumn
38,NA,2006-09-15,2006,9,1,1,102,9.5,1,C05,NA,1,NA,Y2251,Autumn
39,NA,2006-09-15,2006,9,1,1,74,3.9,0,C06,NA,NA,NA,Y2251,Autumn
40,NA,2006-09-15,2006,9,1,1,72,3.5,0,C06,NA,NA,NA,Y2251,Autumn
41,NA,2006-09-15,2006,9,1,1,71,3.1,0,C06,NA,NA,NA,Y2251,Autumn
42,NA,2006-09-15,2006,9,1,1,58,1.7,0,C06,NA,NA,NA,Y2251,Autumn
43,NA,2006-09-15,2006,9,1,1,68,3.0,0,C06,NA,NA,NA,Y2251,Autumn
44,NA,2006-09-15,2006,9,1,1,58,1.6,0,C06,NA,NA,NA,Y2251,Autumn
45,NA,2006-09-15,2006,9,1,1,58,1.8,0,C06,NA,NA,NA,Y2251,Autumn
46,NA,2006-09-15,2006,9,1,1,72,3.4,0,C06,NA,NA,NA,Y2251,Autumn
47,12108,2006-09-15,2006,9,1,1,338,368.8,7,C99,NA,1,NA,NA,Autumn
48,12099,2006-09-15,2006,9,1,1,267,166.4,5,C01,NA,1,NA,NA,Autumn
49,12095,2006-09-15,2006,9,1,1,291,275.8,6,C00,NA,1,NA,NA,Autumn
50,12092,2006-09-15,2006,9,1,1,276,194.6,5,C01,NA,NA,NA,NA,Autumn
51,12094,2006-09-15,2006,9,1,1,161,37.8,2,C04,NA,1,NA,NA,Autumn
52,12091,2006-09-15,2006,9,1,1,142,26.6,1,C05,NA,NA,NA,NA,Autumn
53,12177,2006-09-15,2006,9,1,1,269,178.0,5,C01,NA,1,NA,NA,Autumn
54,12173,2006-09-15,2006,9,1,1,139,27.4,1,C05,NA,1,NA,NA,Autumn
55,12179,2006-09-15,2006,9,1,1,333,320.4,7,C99,NA,1,NA,NA,Autumn
56,12093,2006-09-15,2006,9,1,1,156,34.6,2,C04,NA,NA,NA,NA,Autumn
57,12098,2006-09-15,2006,9,1,1,229,118.9,4,C02,NA,1,NA,NA,Autumn
58,12096,2006-09-15,2006,9,1,1,185,56.4,2,C04,NA,1,NA,NA,Autumn
59,12172,2006-09-15,2006,9,1,1,228,110.2,3,C03,NA,NA,NA,NA,Autumn
60,12090,2006-09-15,2006,9,1,1,146,27.5,1,C05,NA,NA,NA,NA,Autumn
61,12087,2006-09-15,2006,9,1,1,167,42.2,2,C04,NA,NA,NA,NA,Autumn
62,12083,2006-09-15,2006,9,1,1,152,31.1,1,C05,NA,NA,NA,NA,Autumn
63,12056,2006-09-15,2006,9,1,1,138,21.6,1,C05,NA,1,NA,NA,Autumn
64,12097,2006-09-15,2006,9,1,1,154,31.5,2,C04,NA,1,NA,NA,Autumn
65,12085,2006-09-15,2006,9,1,1,154,32.0,1,C05,NA,NA,NA,NA,Autumn
66,12082,2006-09-15,2006,9,1,1,138,23.9,1,C05,NA,NA,NA,NA,Autumn
67,12080,2006-09-15,2006,9,1,1,128,18.5,1,C05,NA,NA,NA,NA,Autumn
68,12088,2006-09-15,2006,9,1,1,141,26.2,1,C05,NA,1,NA,NA,Autumn
69,12084,2006-09-15,2006,9,1,1,138,22.8,1,C05,NA,NA,NA,NA,Autumn
70,12089,2006-09-15,2006,9,1,1,137,23.2,1,C05,NA,NA,NA,NA,Autumn
71,12081,2006-09-15,2006,9,1,1,130,20.3,1,C05,NA,1,NA,NA,Autumn
72,12086,2006-09-15,2006,9,1,1,135,21.7,1,C05,NA,1,NA,NA,Autumn
73,12074,2006-09-15,2006,9,1,1,126,18.0,1,C05,NA,NA,NA,NA,Autumn
74,12076,2006-09-15,2006,9,1,1,123,16.7,1,C05,NA,1,NA,NA,Autumn
75,12071,2006-09-15,2006,9,1,1,124,16.2,1,C05,NA,1,NA,NA,Autumn
76,12077,2006-09-15,2006,9,1,1,118,14.4,1,C05,NA,NA,NA,NA,Autumn
77,NA,2006-09-15,2006,9,1,1,106,10.6,1,C05,NA,NA,NA,Y2252,Autumn
78,NA,2006-09-15,2006,9,1,1,110,11.5,1,C05,NA,NA,NA,Y2252,Autumn
79,NA,2006-09-15,2006,9,1,1,105,10.2,1,C05,NA,NA,NA,Y2252,Autumn
80,NA,2006-09-15,2006,9,1,1,62,2.4,0,C06,NA,NA,NA,Y2252,Autumn
81,NA,2006-09-15,2006,9,1,1,70,3.1,0,C06,NA,NA,NA,Y2252,Autumn
82,NA,2006-09-15,2006,9,1,1,68,3.0,0,C06,NA,NA,NA,Y2252,Autumn
83,NA,2006-09-15,2006,9,1,1,72,3.4,0,C06,NA,NA,NA,Y2252,Autumn
84,NA,2006-09-15,2006,9,1,1,78,4.3,0,C06,NA,NA,NA,Y2252,Autumn
85,NA,2006-09-15,2006,9,1,1,72,3.4,0,C06,NA,NA,NA,Y2252,Autumn
86,NA,2006-09-15,2006,9,1,1,55,1.3,0,C06,NA,NA,NA,Y2252,Autumn
87,NA,2006-09-15,2006,9,1,1,61,1.9,0,C06,NA,NA,NA,Y2252,Autumn
