Cohort,Species,Mark,Date,Year,Month,Sector,Run,Length,Weight,Age,Sex,adc,Tag_loss,Adip,Remark,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor,Stream,Pop,Pop_ind
C13,MT,NA,9/16/2013,2013,9,1,1,78,4.4,0,NA,NA,NA,1074,NA,2013,2013,C13,0,1074,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,83,5.9,0,NA,NA,NA,1075,NA,2013,2013,C13,0,1075,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,89,6.8,0,NA,NA,NA,10763113,NA,2013,2013,C13,0,10763113,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,81,5,0,NA,NA,NA,1095,NA,2013,2013,C13,0,1095,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,78,4.6,0,NA,NA,NA,1096,NA,2013,2013,C13,0,1096,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,83,5.4,0,NA,NA,NA,1097,NA,2013,2013,C13,0,1097,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,85,5.8,0,NA,NA,NA,10983149,NA,2013,2013,C13,0,10983149,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,69,3.1,0,NA,NA,NA,10993183,NA,2013,2013,C13,0,10993183,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,76,3.9,0,NA,NA,NA,1100,NA,2013,2013,C13,0,1100,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,89,7.2,0,NA,NA,NA,11013117,NA,2013,2013,C13,0,11013117,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,80,4.9,0,NA,NA,NA,1105,NA,2013,2013,C13,0,1105,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,78,4.4,0,NA,NA,NA,1106,NA,2013,2013,C13,0,1106,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,76,4.1,0,NA,NA,NA,1108,NA,2013,2013,C13,0,1108,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,82,5.3,0,NA,NA,NA,1109,NA,2013,2013,C13,0,1109,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,98,9.2,0,NA,NA,NA,1110,NA,2013,2013,C13,0,1110,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,82,4.8,0,NA,NA,NA,1139,NA,2013,2013,C13,0,1139,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,76,4,0,NA,NA,NA,1140,NA,2013,2013,C13,0,1140,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,66,2.8,0,NA,NA,NA,1145,NA,2013,2013,C13,0,1145,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,64,2.4,0,NA,NA,NA,1146,NA,2013,2013,C13,0,1146,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,63,2.2,0,NA,NA,NA,1147,NA,2013,2013,C13,0,1147,LIdri,LIdri_MT,3
C13,MT,NA,9/16/2013,2013,9,1,1,58,1.8,0,NA,NA,NA,1148,NA,2013,2013,C13,0,1148,LIdri,LIdri_MT,3
C08,MT,NA,6/15/2009,2009,6,1,1,84,5.6,1,NA,NA,NA,R495,NA,2008,2008,C08,1,11802,LIdri,LIdri_MT,3
C08,MT,NA,9/7/2009,2009,9,1,1,108,12,1,NA,1,NA,R614,NA,2008,2008,C08,1,11802,LIdri,LIdri_MT,3
C08,MT,11803,6/14/2010,2010,6,1,1,170,50,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11803,LIdri,LIdri_MT,3
C08,MT,11803,9/22/2010,2010,9,1,1,197,73,2,NA,NA,NA,NA,NA,2008,2008,C08,2,11803,LIdri,LIdri_MT,3
C08,MT,NA,6/15/2009,2009,6,1,1,88,6.4,1,NA,1,NA,R501,NA,2008,2008,C08,1,11807,LIdri,LIdri_MT,3
C08,MT,11807,6/14/2010,2010,6,1,1,130,22,2,NA,1,NA,NA,NA,2008,2008,C08,2,11807,LIdri,LIdri_MT,3
