Num,Mark,Date,Month,Year,Run,Sector,Length,Weight,Age,Cohort,Sex,adc,Tag_loss,Adip,Comment,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor
139,NA,9/10/07,9,2007,1,1,72,3.5,0,C07,NA,NA,NA,Y2532_8,NA,2007,2007,C07,0,11060
254,11060,9/15/08,9,2008,1,1,123,17.5,1,C07,NA,1,NA,NA,NA,2007,2007,C07,1,11060
84,NA,9/10/07,9,2007,1,1,83,5.1,0,C07,NA,NA,NA,Y2530_7,NA,2007,2007,C07,0,11067
271,11067,9/15/08,9,2008,2,1,133,21.2,1,C07,NA,1,NA,NA,NA,2007,2007,C07,1,11067
303,11067,9/9/09,9,2009,1,1,167,43,2,C07,NA,NA,NA,NA,NA,2007,2007,C07,2,11067
171,NA,9/10/07,9,2007,2,1,69,3.1,0,C07,NA,NA,NA,Y2534_11,NA,2007,2007,C07,0,11074
270,11074,9/15/08,9,2008,2,1,154,32.4,1,C07,NA,1,NA,NA,NA,2007,2007,C07,1,11074
368,11074,9/9/09,9,2009,2,1,200,74,2,C07,NA,NA,NA,NA,NA,2007,2007,C07,2,11074
421,11074,9/13/10,9,2010,1,1,217,88,3,C07,NA,NA,NA,NA,NA,2007,2007,C07,3,11074
267,11075,9/15/08,9,2008,2,1,139,23.5,1,C07,NA,NA,NA,NA,NA,2007,2007,C07,1,11075
272,11077,9/15/08,9,2008,2,1,128,20.2,1,C07,NA,NA,NA,NA,NA,2007,2007,C07,1,11077
430,11077,9/13/10,9,2010,1,1,186,65,3,C07,NA,NA,NA,NA,NA,2007,2007,C07,3,11077
256,11081,9/15/08,9,2008,1,1,118,15.3,1,C07,NA,NA,NA,NA,NA,2007,2007,C07,1,11081
433,11081,9/13/10,9,2010,1,1,161,40,3,C07,NA,NA,NA,NA,NA,2007,2007,C07,3,11081
550,11081,9/14/11,9,2011,2,1,190,68,4,C07,NA,NA,NA,NA,NA,2007,2007,C07,4,11081
97,NA,9/10/07,9,2007,1,1,77,4.3,0,C07,NA,NA,NA,Y2531_11,NA,2007,2007,C07,0,11086
265,11086,9/15/08,9,2008,2,1,142,25.9,1,C07,NA,1,NA,NA,NA,2007,2007,C07,1,11086
252,11087,9/15/08,9,2008,1,1,132,21.6,1,C07,NA,NA,NA,NA,NA,2007,2007,C07,1,11087
269,11088,9/15/08,9,2008,2,1,143,27.2,1,C07,NA,NA,NA,NA,NA,2007,2007,C07,1,11088
64,12163,9/13/06,9,2006,2,1,122,17.1,1,C05,NA,1,NA,NA,NA,2005,2005,C05,1,12163
63,12170,9/13/06,9,2006,2,1,164,40.8,1,C05,NA,1,NA,NA,NA,2005,2005,C05,1,12170
73,12170,9/10/07,9,2007,1,1,198,72.4,2,C05,NA,NA,NA,NA,NA,2005,2005,C05,2,12170
147,NA,9/10/07,9,2007,1,1,82,5,0,C07,NA,NA,NA,Y2533_4,NA,2007,2007,C07,0,12801
184,12801,9/15/08,9,2008,1,1,118,16.4,1,C07,NA,1,NA,NA,NA,2007,2007,C07,1,12801
173,12802,9/15/08,9,2008,1,1,201,96.2,3,C05,NA,NA,NA,NA,NA,2005,2005,C05,3,12802
381,12802,9/13/10,9,2010,1,1,246,164,5,C05,NA,NA,NA,NA,NA,2005,2005,C05,5,12802
86,NA,9/10/07,9,2007,1,1,77,4.3,0,C07,NA,NA,NA,Y2530_9,NA,2007,2007,C07,0,12803
179,12803,9/15/08,9,2008,1,1,144,29.1,1,C07,NA,1,NA,NA,NA,2007,2007,C07,1,12803
90,NA,9/10/07,9,2007,1,1,70,3.2,0,C07,NA,NA,NA,Y2531_4,NA,2007,2007,C07,0,12804
182,12804,9/15/08,9,2008,1,1,134,22.5,1,C07,NA,1,NA,NA,NA,2007,2007,C07,1,12804
350,12804,9/9/09,9,2009,1,1,178,60,2,C07,NA,NA,NA,NA,NA,2007,2007,C07,2,12804
133,NA,9/10/07,9,2007,1,1,69,3.2,0,C07,NA,NA,NA,Y2532_2,NA,2007,2007,C07,0,12805
246,12805,9/15/08,9,2008,1,1,154,33.9,1,C07,NA,1,NA,NA,NA,2007,2007,C07,1,12805
353,12805,9/9/09,9,2009,1,1,178,52,2,C07,NA,NA,NA,NA,NA,2007,2007,C07,2,12805
79,NA,9/10/07,9,2007,1,1,84,5.5,0,C07,NA,NA,NA,Y2530_2,NA,2007,2007,C07,0,12807
177,12807,9/15/08,9,2008,1,1,158,37.5,1,C07,NA,1,NA,NA,NA,2007,2007,C07,1,12807
448,12807,9/13/10,9,2010,2,1,241,140,3,C07,NA,NA,NA,NA,NA,2007,2007,C07,3,12807
185,12808,9/15/08,9,2008,1,1,229,120,4,C04,NA,1,NA,NA,NA,2004,2004,C04,4,12808
299,12808,9/9/09,9,2009,1,1,245,147,5,C04,NA,NA,NA,NA,NA,2004,2004,C04,5,12808
398,12808,9/13/10,9,2010,1,1,285,247,6,C04,NA,NA,NA,NA,NA,2004,2004,C04,6,12808
175,12809,9/15/08,9,2008,1,1,183,57.7,3,C05,NA,NA,NA,NA,NA,2005,2005,C05,3,12809
248,12811,9/15/08,9,2008,1,1,121,17.1,1,C07,NA,NA,NA,NA,NA,2007,2007,C07,1,12811
371,12811,9/9/09,9,2009,2,1,160,39,2,C07,NA,NA,NA,NA,NA,2007,2007,C07,2,12811
447,12811,9/13/10,9,2010,2,1,185,61,3,C07,NA,NA,NA,NA,NA,2007,2007,C07,3,12811
183,12812,9/15/08,9,2008,1,1,138,24.9,1,C07,NA,NA,NA,NA,NA,2007,2007,C07,1,12812
356,12812,9/9/09,9,2009,1,1,171,44,2,C07,NA,NA,NA,NA,NA,2007,2007,C07,2,12812
161,NA,9/10/07,9,2007,2,1,69,2.9,0,C07,NA,NA,NA,Y2534_1,dead,2007,2007,C07,0,12813
202,12813,9/15/08,9,2008,1,1,149,32.8,1,C07,NA,1,NA,NA,NA,2007,2007,C07,1,12813
169,NA,9/10/07,9,2007,2,1,73,3.5,0,C07,NA,NA,NA,Y2534_9,NA,2007,2007,C07,0,12815
194,12815,9/15/08,9,2008,1,1,127,19.2,1,C07,NA,1,NA,NA,NA,2007,2007,C07,1,12815
357,12815,9/9/09,9,2009,1,1,172,49,2,C07,NA,NA,NA,NA,NA,2007,2007,C07,2,12815
91,NA,9/10/07,9,2007,1,1,78,4.4,0,C07,NA,NA,NA,Y2531_5,NA,2007,2007,C07,0,12816
181,12816,9/15/08,9,2008,1,1,139,25.2,1,C07,NA,1,NA,NA,NA,2007,2007,C07,1,12816
216,12818,9/15/08,9,2008,1,1,124,18.2,1,C07,NA,1,NA,NA,NA,2007,2007,C07,1,12818
348,12818,9/9/09,9,2009,1,1,170,47,2,C07,NA,NA,NA,NA,NA,2007,2007,C07,2,12818
