Num,Mark,Date,Year,Month,Run,Sector,Length,Weight,Age,Cohort,Sex,adc,Tag_loss,Adip,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor
162,11000,9/18/08,2008,9,1,2,161,41.3,1,C07,NA,NA,NA,NA,2007,2007,C07,1,11000
180,11000,9/11/09,2009,9,1,2,248,140,2,C07,NA,NA,NA,NA,2007,2007,C07,2,11000
161,11001,9/18/08,2008,9,1,2,190,73.9,1,C07,NA,NA,NA,NA,2007,2007,C07,1,11001
164,11003,9/18/08,2008,9,1,2,181,56.8,1,C07,NA,NA,NA,NA,2007,2007,C07,1,11003
84,11004,9/12/07,2007,9,1,2,140,24,1,C06,NA,NA,NA,NA,2006,2006,C06,1,11004
363,12872,9/12/07,2007,9,1,2,142,24,1,C06,NA,NA,NA,NA,2006,2006,C06,1,11004
158,11004,9/18/08,2008,9,1,2,225,95.5,2,C06,NA,NA,NA,NA,2006,2006,C06,2,11004
159,11008,9/18/08,2008,9,1,2,266,182.5,2,C06,NA,NA,NA,NA,2006,2006,C06,2,11008
178,11008,9/11/09,2009,9,1,2,294,228,3,C06,NA,NA,NA,NA,2006,2006,C06,3,11008
393,2832,9/18/12,2012,9,1,2,352,401,3,C09,NA,1,1,NA,2009,2006,C06,6,11008
165,11027,9/18/08,2008,9,1,2,229,115,2,C06,NA,NA,NA,NA,2006,2006,C06,2,11027
419,11455,9/18/12,2012,9,1,2,131,20.7,1,C11,NA,NA,NA,NA,2011,2011,C11,1,11455
442,11460,9/18/12,2012,9,2,2,158,34.9,1,C11,NA,NA,NA,NA,2011,2011,C11,1,11460
418,11462,9/18/12,2012,9,1,2,134,21.9,1,C11,NA,1,NA,NA,2011,2011,C11,1,11462
438,11470,9/18/12,2012,9,2,2,152,32,1,C11,NA,NA,NA,NA,2011,2011,C11,1,11470
441,11472,9/18/12,2012,9,2,2,158,39.3,1,C11,NA,NA,NA,NA,2011,2011,C11,1,11472
417,11473,9/18/12,2012,9,1,2,172,45.8,1,C11,NA,NA,NA,NA,2011,2011,C11,1,11473
437,11474,9/18/12,2012,9,2,2,164,42.3,1,C11,NA,1,NA,NA,2011,2011,C11,1,11474
440,11475,9/18/12,2012,9,2,2,157,35.8,1,C11,NA,NA,NA,NA,2011,2011,C11,1,11475
435,11477,9/18/12,2012,9,2,2,170,46.4,1,C11,NA,NA,NA,NA,2011,2011,C11,1,11477
477,11477,9/2/14,2014,9,1,2,267,179.2,3,C11,NA,NA,NA,NA,2011,2011,C11,3,11477
425,11478,9/18/12,2012,9,1,2,147,28.2,1,C11,NA,1,NA,NA,2011,2011,C11,1,11478
439,11479,9/18/12,2012,9,2,2,165,40,1,C11,NA,NA,NA,NA,2011,2011,C11,1,11479
416,11480,9/18/12,2012,9,1,2,142,26.6,1,C11,NA,NA,NA,NA,2011,2011,C11,1,11480
432,11481,9/18/12,2012,9,2,2,154,34.3,1,C11,NA,NA,NA,NA,2011,2011,C11,1,11481
414,11482,9/18/12,2012,9,1,2,142,24.2,1,C11,NA,1,NA,NA,2011,2011,C11,1,11482
423,11483,9/18/12,2012,9,1,2,143,27.4,1,C11,NA,NA,NA,NA,2011,2011,C11,1,11483
415,11484,9/18/12,2012,9,1,2,147,30.8,1,C11,NA,NA,NA,NA,2011,2011,C11,1,11484
421,11485,9/18/12,2012,9,1,2,157,35,1,C11,NA,NA,NA,NA,2011,2011,C11,1,11485
426,11487,9/18/12,2012,9,1,2,182,53.1,1,C11,NA,1,NA,NA,2011,2011,C11,1,11487
420,11489,9/18/12,2012,9,1,2,143,28.3,1,C11,NA,1,NA,NA,2011,2011,C11,1,11489
397,11490,9/18/12,2012,9,1,2,157,36.6,1,C11,NA,NA,NA,NA,2011,2011,C11,1,11490
413,11491,9/18/12,2012,9,1,2,142,27.6,1,C11,NA,1,NA,NA,2011,2011,C11,1,11491
406,11492,9/18/12,2012,9,1,2,143,26.1,1,C11,NA,NA,NA,NA,2011,2011,C11,1,11492
402,11493,9/18/12,2012,9,1,2,204,77.9,2,C10,NA,NA,NA,NA,2010,2010,C10,2,11493
395,11494,9/18/12,2012,9,1,2,168,44.3,1,C11,NA,NA,NA,NA,2011,2011,C11,1,11494
396,11495,9/18/12,2012,9,1,2,228,108.9,2,C10,NA,NA,NA,NA,2010,2010,C10,2,11495
398,11496,9/18/12,2012,9,1,2,146,29.1,1,C11,NA,NA,NA,NA,2011,2011,C11,1,11496
